DATE,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,CREATED,MODIFIED
2015-01-01,NK,224,N607NK,ORD,LGA,556,547.0,-9.0,16.0,603.0,124.0,160.0,92.0,733,835.0,52.0,900,927.0,27.0,0,0,,27.0,0.0,0.0,0.0,0.0,2015-01-01 02:56:00,2015-01-01 09:27:00
2015-01-01,AA,1100,N3GWAA,DFW,LGA,600,554.0,-6.0,33.0,627.0,190.0,191.0,154.0,1389,1001.0,4.0,1010,1005.0,-5.0,0,0,,,,,,,2015-01-01 03:00:00,2015-01-01 10:05:00
2015-01-01,AA,1103,N3HCAA,LGA,DFW,600,,,,,245.0,,,1389,,,905,,,0,1,B,,,,,,2015-01-01 03:00:00,
2015-01-01,EV,4756,N13908,CLT,ORD,600,559.0,-1.0,26.0,625.0,123.0,142.0,109.0,599,714.0,7.0,703,721.0,18.0,0,0,,18.0,0.0,0.0,0.0,0.0,2015-01-01 03:00:00,2015-01-01 07:21:00
2015-01-01,US,1709,N677AW,EWR,CLT,610,616.0,6.0,29.0,645.0,121.0,130.0,95.0,529,820.0,6.0,811,826.0,15.0,0,0,,9.0,0.0,6.0,0.0,0.0,2015-01-01 03:10:00,2015-01-01 08:26:00
2015-01-01,NK,940,N508NK,DFW,ORD,616,619.0,3.0,12.0,631.0,139.0,119.0,96.0,802,807.0,11.0,835,818.0,-17.0,0,0,,,,,,,2015-01-01 03:16:00,2015-01-01 08:18:00
2015-01-01,AA,1079,N3KKAA,CLT,DFW,625,620.0,-5.0,27.0,647.0,175.0,187.0,149.0,936,816.0,11.0,820,827.0,7.0,0,0,,,,,,,2015-01-01 03:25:00,2015-01-01 08:27:00
2015-01-01,AA,1343,N3GLAA,DFW,CLT,625,618.0,-7.0,18.0,636.0,140.0,129.0,107.0,936,923.0,4.0,945,927.0,-18.0,0,0,,,,,,,2015-01-01 03:25:00,2015-01-01 09:27:00
2015-01-01,NK,969,N516NK,BWI,ORD,625,619.0,-6.0,12.0,631.0,129.0,139.0,116.0,622,727.0,11.0,734,738.0,4.0,0,0,,,,,,,2015-01-01 03:25:00,2015-01-01 07:38:00
2015-01-01,AA,1381,N492AA,EWR,DFW,630,627.0,-3.0,17.0,644.0,245.0,258.0,232.0,1372,936.0,9.0,935,945.0,10.0,0,0,,,,,,,2015-01-01 03:30:00,2015-01-01 09:45:00
2015-01-01,US,1943,N508AY,BWI,CLT,640,637.0,-3.0,22.0,659.0,94.0,95.0,67.0,361,806.0,6.0,814,812.0,-2.0,0,0,,,,,,,2015-01-01 03:40:00,2015-01-01 08:12:00
2015-01-01,US,1946,N915US,EWR,CLT,640,648.0,8.0,11.0,659.0,121.0,104.0,88.0,529,827.0,5.0,841,832.0,-9.0,0,0,,,,,,,2015-01-01 03:40:00,2015-01-01 08:32:00
2015-01-01,UA,1748,N16703,ORD,EWR,640,643.0,3.0,12.0,655.0,125.0,124.0,82.0,719,917.0,30.0,945,947.0,2.0,0,0,,,,,,,2015-01-01 03:40:00,2015-01-01 09:47:00
2015-01-01,AA,1107,N3ADAA,LGA,DFW,645,641.0,-4.0,16.0,657.0,255.0,256.0,229.0,1389,946.0,11.0,1000,957.0,-3.0,0,0,,,,,,,2015-01-01 03:45:00,2015-01-01 09:57:00
2015-01-01,AA,1104,N3LAAA,DFW,LGA,655,647.0,-8.0,15.0,702.0,190.0,176.0,157.0,1389,1039.0,4.0,1105,1043.0,-22.0,0,0,,,,,,,2015-01-01 03:55:00,2015-01-01 10:43:00
2015-01-01,AA,1373,N549AA,BWI,DFW,655,647.0,-8.0,17.0,704.0,220.0,230.0,202.0,1217,926.0,11.0,935,937.0,2.0,0,0,,,,,,,2015-01-01 03:55:00,2015-01-01 09:37:00
2015-01-01,US,2064,N538UW,DFW,CLT,700,655.0,-5.0,35.0,730.0,148.0,155.0,112.0,936,1022.0,8.0,1028,1030.0,2.0,0,0,,,,,,,2015-01-01 04:00:00,2015-01-01 10:30:00
2015-01-01,UA,463,N482UA,LGA,ORD,700,658.0,-2.0,13.0,711.0,159.0,156.0,136.0,733,827.0,7.0,839,834.0,-5.0,0,0,,,,,,,2015-01-01 04:00:00,2015-01-01 08:34:00
2015-01-01,AA,315,N3MAAA,LGA,ORD,700,658.0,-2.0,16.0,714.0,165.0,165.0,136.0,733,830.0,13.0,845,843.0,-2.0,0,0,,,,,,,2015-01-01 04:00:00,2015-01-01 08:43:00
2015-01-01,UA,1058,N38459,BWI,ORD,715,708.0,-7.0,9.0,717.0,133.0,137.0,112.0,622,809.0,16.0,828,825.0,-3.0,0,0,,,,,,,2015-01-01 04:15:00,2015-01-01 08:25:00
2015-01-01,US,1967,N523UW,ORD,CLT,725,721.0,-4.0,19.0,740.0,119.0,112.0,77.0,599,957.0,16.0,1024,1013.0,-11.0,0,0,,,,,,,2015-01-01 04:25:00,2015-01-01 10:13:00
2015-01-01,AA,1111,N3BHAA,LGA,DFW,730,729.0,-1.0,14.0,743.0,250.0,247.0,224.0,1389,1027.0,9.0,1040,1036.0,-4.0,0,0,,,,,,,2015-01-01 04:30:00,2015-01-01 10:36:00
2015-01-01,UA,1001,N23721,ORD,EWR,738,735.0,-3.0,12.0,747.0,125.0,105.0,87.0,719,1014.0,6.0,1043,1020.0,-23.0,0,0,,,,,,,2015-01-01 04:38:00,2015-01-01 10:20:00
2015-01-01,AA,2332,N005AA,DFW,ORD,740,,,,,135.0,,,802,,,955,,,0,1,B,,,,,,2015-01-01 04:40:00,
2015-01-01,WN,371,N7813P,CLT,BWI,745,744.0,-1.0,22.0,806.0,100.0,81.0,51.0,361,857.0,8.0,925,905.0,-20.0,0,0,,,,,,,2015-01-01 04:45:00,2015-01-01 09:05:00
2015-01-01,AA,1108,N3HKAA,DFW,LGA,750,740.0,-10.0,31.0,811.0,190.0,190.0,157.0,1389,1148.0,2.0,1200,1150.0,-10.0,0,0,,,,,,,2015-01-01 04:50:00,2015-01-01 11:50:00
2015-01-01,NK,718,N625NK,DFW,LGA,750,853.0,63.0,34.0,927.0,190.0,194.0,152.0,1389,1259.0,8.0,1200,1307.0,67.0,0,0,,67.0,0.0,0.0,0.0,0.0,2015-01-01 04:50:00,2015-01-01 13:07:00
2015-01-01,AA,1642,N3CLAA,DFW,EWR,755,751.0,-4.0,34.0,825.0,185.0,195.0,154.0,1372,1159.0,7.0,1200,1206.0,6.0,0,0,,,,,,,2015-01-01 04:55:00,2015-01-01 12:06:00
2015-01-01,EV,4389,N14916,CLT,ORD,758,755.0,-3.0,22.0,817.0,127.0,139.0,107.0,599,904.0,10.0,905,914.0,9.0,0,0,,,,,,,2015-01-01 04:58:00,2015-01-01 09:14:00
